image_name,modality,gt_count,pred_count,abs_error,tp,fp,fn,precision,recall,f1
DJI_20260621190747_0004_V.JPG,rgb,81,79,2,72,7,9,0.9114,0.8889,0.9
DJI_20260621190803_0006_V.JPG,rgb,25,22,3,21,1,4,0.9545,0.84,0.8936
DJI_20260621190900_0005_V.JPG,rgb,46,40,6,37,3,9,0.925,0.8043,0.8605
DJI_20260621190910_0006_V.JPG,rgb,111,100,11,93,7,18,0.93,0.8378,0.8815
DJI_20260621190747_0004_T.JPG,thermal,66,27,39,25,2,41,0.9259,0.3788,0.5376
DJI_20260621190803_0006_T.JPG,thermal,10,1,9,1,0,9,1.0,0.1,0.1818
DJI_20260621190900_0005_T.JPG,thermal,25,0,25,0,0,25,0.0,0.0,0.0
DJI_20260621190910_0006_T.JPG,thermal,59,20,39,14,6,45,0.7,0.2373,0.3544
