image_name,modality,gt_count,pred_count,abs_error,tp,fp,fn,precision,recall,f1
DJI_20260621190747_0004_V.JPG,rgb,81,79,2,72,7,9,0.9114,0.8889,0.9
DJI_20260621190803_0006_V.JPG,rgb,25,22,3,21,1,4,0.9545,0.84,0.8936
DJI_20260621190900_0005_V.JPG,rgb,46,40,6,37,3,9,0.925,0.8043,0.8605
DJI_20260621190910_0006_V.JPG,rgb,111,100,11,93,7,18,0.93,0.8378,0.8815
DJI_20260621190747_0004_T.JPG,thermal,66,65,1,50,15,16,0.7692,0.7576,0.7634
DJI_20260621190803_0006_T.JPG,thermal,10,5,5,3,2,7,0.6,0.3,0.4
DJI_20260621190900_0005_T.JPG,thermal,25,5,20,4,1,21,0.8,0.16,0.2667
DJI_20260621190910_0006_T.JPG,thermal,59,62,3,43,19,16,0.6935,0.7288,0.7107
